Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,1211.000000,1287.000000,1201.000000,1239.500000,1239.500000,786255
2009-01-08,1240.500000,1256.250000,1155.250000,1165.500000,1165.500000,1289268
2009-01-15,1165.250000,1222.250000,1132.000000,1181.500000,1181.500000,1310614
2009-01-22,1181.750000,1244.750000,1141.500000,1231.250000,1231.250000,1552721
2009-01-29,1230.000000,1242.750000,1153.500000,1214.000000,1214.000000,1483958
2009-02-05,1214.750000,1286.000000,1185.000000,1224.500000,1224.500000,1719299
2009-02-12,1224.750000,1255.000000,1171.500000,1180.000000,1180.000000,1378212
2009-02-19,1178.500000,1201.500000,1125.500000,1154.000000,1154.000000,1905289
2009-02-26,1155.500000,1175.000000,1062.000000,1101.000000,1101.000000,1951507
2009-03-05,1122.250000,1135.750000,1040.250000,1125.000000,1125.000000,2148890
2009-03-12,1125.500000,1225.250000,1111.750000,1213.750000,1213.750000,973826
2009-03-19,1209.500000,1261.500000,1186.500000,1233.500000,1233.500000,1071779
2009-03-26,1231.000000,1281.750000,1203.500000,1251.000000,1251.000000,1683247
2009-04-02,1251.000000,1327.500000,1248.750000,1298.500000,1298.500000,1597317
2009-04-09,1298.750000,1343.500000,1293.500000,1317.000000,1317.000000,1018151
2009-04-16,1316.750000,1362.000000,1299.750000,1323.500000,1323.500000,1522964
2009-04-23,1328.250000,1397.250000,1319.000000,1377.750000,1377.750000,1604332
2009-04-30,1377.250000,1435.500000,1376.250000,1429.750000,1429.750000,1394629
2009-05-07,1427.750000,1437.750000,1338.250000,1344.250000,1344.250000,1865235
2009-05-14,1344.500000,1423.000000,1336.500000,1392.500000,1392.500000,1476108
2009-05-21,1392.000000,1428.750000,1342.750000,1404.000000,1404.000000,1253570
2009-05-28,1402.500000,1494.500000,1389.250000,1477.500000,1477.500000,1498406
2009-06-04,1475.750000,1517.750000,1466.750000,1495.750000,1495.750000,1237260
2009-06-11,1494.500000,1512.000000,1439.500000,1454.750000,1454.750000,775653
2009-06-18,1454.000000,1470.500000,1412.000000,1447.250000,1447.250000,965293
2009-06-25,1446.250000,1496.250000,1432.750000,1478.750000,1478.750000,1236826
2009-07-02,1478.500000,1479.250000,1392.500000,1407.000000,1407.000000,1289040
2009-07-09,1407.000000,1499.500000,1399.500000,1497.250000,1497.250000,1383049
2009-07-16,1495.750000,1571.250000,1489.000000,1556.500000,1556.500000,1433964
2009-07-23,1557.750000,1609.000000,1555.000000,1600.750000,1600.750000,1514472
2009-07-30,1600.250000,1632.500000,1598.500000,1614.500000,1614.500000,1426810
2009-08-06,1615.250000,1633.750000,1585.750000,1618.750000,1618.750000,1336088
2009-08-13,1619.000000,1638.500000,1561.250000,1598.750000,1598.750000,1559246
2009-08-20,1598.000000,1655.500000,1591.000000,1636.500000,1636.500000,1381738
2009-08-27,1637.250000,1668.500000,1585.250000,1593.000000,1593.000000,1579482
2009-09-03,1592.750000,1677.000000,1584.500000,1666.000000,1666.000000,1203454
2009-09-10,1666.500000,1725.000000,1661.750000,1719.500000,1719.500000,798239
2009-09-17,1718.750000,1753.250000,1706.750000,1725.500000,1725.500000,820172
2009-09-24,1724.250000,1736.750000,1688.000000,1717.500000,1717.500000,1501029
2009-10-01,1716.000000,1726.750000,1649.750000,1708.000000,1708.000000,1810509
2009-10-08,1707.500000,1754.500000,1706.500000,1747.750000,1747.750000,1138868
2009-10-15,1747.500000,1779.250000,1723.250000,1753.250000,1753.250000,1469972
2009-10-22,1749.500000,1778.250000,1677.250000,1680.000000,1680.000000,1860117
2009-10-29,1680.750000,1713.000000,1650.250000,1686.750000,1686.750000,1972273
2009-11-05,1686.750000,1792.500000,1671.500000,1783.750000,1783.750000,1509964
2009-11-12,1784.000000,1813.750000,1768.500000,1800.500000,1800.500000,1329934
2009-11-19,1800.500000,1802.000000,1755.000000,1794.250000,1794.250000,1320327
2009-11-26,1794.250000,1806.500000,1722.250000,1791.500000,1791.500000,1004780
2009-12-03,1791.500000,1816.250000,1758.750000,1792.500000,1792.500000,1527541
2009-12-10,1791.500000,1815.000000,1784.500000,1801.750000,1801.750000,784789
2009-12-17,1802.250000,1853.000000,1776.750000,1852.250000,1852.250000,777363
2009-12-24,1851.750000,1881.500000,1850.750000,1876.750000,1876.750000,425628
2009-12-31,1876.000000,1891.750000,1858.750000,1878.500000,1878.500000,655162
2010-01-07,1877.750000,1900.000000,1850.000000,1882.500000,1882.500000,1344935
2010-01-14,1882.250000,1895.750000,1845.500000,1867.000000,1867.000000,1199240
2010-01-21,1867.750000,1883.500000,1783.750000,1809.000000,1809.000000,2191899
2010-01-28,1807.500000,1820.000000,1731.750000,1785.500000,1785.500000,2228171
2010-02-04,1784.500000,1792.000000,1710.750000,1744.750000,1744.750000,2031568
2010-02-11,1744.500000,1812.500000,1736.750000,1811.750000,1811.750000,1224386
2010-02-18,1812.000000,1833.000000,1785.250000,1814.000000,1814.000000,1363285
2010-02-25,1813.000000,1862.250000,1780.500000,1852.000000,1852.000000,1381729
2010-03-04,1851.250000,1921.250000,1844.250000,1918.750000,1918.750000,1232322
2010-03-11,1917.500000,1946.250000,1906.500000,1936.500000,1936.500000,780714
2010-03-18,1936.000000,1962.000000,1919.000000,1951.500000,1951.500000,886206
2010-03-25,1951.000000,1974.250000,1939.250000,1955.750000,1955.750000,1272798
2010-04-01,1955.750000,1985.750000,1940.750000,1975.000000,1975.000000,940752
2010-04-08,1974.000000,2026.750000,1959.250000,2026.500000,2026.500000,1093010
2010-04-15,2026.000000,2040.500000,1985.750000,2025.500000,2025.500000,1518451
2010-04-22,2021.000000,2058.750000,1989.500000,2006.750000,2006.750000,1618442
2010-04-29,2005.500000,2047.000000,1934.500000,1958.500000,1958.500000,1767675
